Faculty Member,Department,Role
Louis J. Moses,Psychology, professor (social and cognitive development) 
Jennifer Pfeifer,Psychology," associate professor (developmental and social cognitive neuroscience, adolescent self-perception and emotion processing) "
Gerard Saucier,Psychology," professor (personality beliefs and values, psychometrics) "
Margaret E. Sereno,Psychology," associate professor (visual cognition, neural network modeling, brain imaging) "
Azim Shariff,Psychology," assistant professor (religion, morality, cultural and evolutionary psychology) "
Sanjay Srivastava,Psychology," associate professor (interpersonal perception and self-perception, social functions of emotions, personality dynamics and development) "
Marjorie Taylor,Psychology, professor (development of imagination and creativity) 
Nash Unsworth,Psychology," associate professor (working memory, memory and attention differences, memory search and retrieval) "
Lewis R. Goldberg,Psychology, professor emeritus 
Barbara Gordon-Lickey,Psychology, professor emerita 
Marvin Gordon-Lickey,Psychology, professor emeritus 
Douglas L. Hintzman,Psychology, professor emeritus 
Ray Hyman,Psychology, professor emeritus 
Carolin Keutzer,Psychology, associate professor emerita 
Daniel P. Kimble,Psychology, professor emeritus 
Peter M. Lewinsohn,Psychology, professor emeritus 
Edward Lichtenstein,Psychology, professor emeritus 
Richard A. Littman,Psychology, professor emeritus 
Richard Marrocco,Psychology, professor emeritus 
Michael I. Posner,Psychology, professor emeritus 
Myron Rothbart,Psychology, professor emeritus 
Norman D. Sundberg,Psychology, professor emeritus 
Robert L. Weiss,Psychology, professor emeritus 
